Letter,Date,Year,Sender,Receiver,Transcription
DCP-LETT-2623.xml,1860-10-15,1860,"Darwin, C. R.","Murray, John (b)","From ‘Botanische Zeitung’ (Regensburg) 1833. p. 96 Notice of Prof. Burnett on irritable plants & the insects wh. they secure. “Ich habe einen Versuch mit 2 Exemplaren der Dionæa muscipula gemacht, und zu dem Ende 2 von beinahe gleicher Grösse & Gesundheit gewählt. Die eine davon bekam weder Würmer noch Fliegen u.s.w., während die andere täglich mit kleinen Ueberbleibseln von Thieren gefüttert wurde: das Ergebniss dieser Versuchs war, dass die erste pflanze, bei ihrer strengen Diät, allmählig hinwelkte, die andere aber, bei ihrer Fleischkost(?) sich vortrefflich befand.”— Nuttal, in Gen a . No. American Plants, p. 277, (note)— “This sensibility is said to reside principally in the 4 capillary processes situated upon the disk of the lamina. While engaged in collecting this plant in its singularly insulated situation near Wilmington, in North Carolina, I had occasion to observe that a detached leaf would make repeated efforts towards disclosing itself to the influence of the Sun, these attempts consisted in an undulating motion of the marginal ciliæ, accompanied by a partial opening & succeeding collapse of the lamina, which at length terminated in a complete expansion & in the destruction of sensibility.”— Note fr. Drummond. Swan River Bot y . Kew J l . Bot y . v. 345. Speakg. of a sp. of Elatine.— “I have ascertained that in the minute submerged concealed flowers, the anthers burst internally, & the seeds arrive at maturity in a much shorter time than they require when the inflorescence is exposed to the air.” x x x x x x"
DCP-LETT-3103F.xml,1861-03-28,1861,"Darwin, C. R.","Tegetmeier, W. B.","send them to me by enclosed address. as I rather want to see two of them.— My dear Sir | yours sincerely | C. Darwin I am getting together a few points to investigate.— I think the Half-lop, had better be killed (not knocked on Head) if you get one.— I have not yet opened the Box with the Skulls; for I have not yet come to Skeleton.—"
DCP-LETT-3837.xml,1862-11-28,1862,"Darwin, C. R.","Jackson, H. W.","With this I send the strawberries. Hybrid wild, (Vesca + Myatt) Hybrid Hautbois, a chance seedling, and the plant which sent up a crown of true hautbois. The Six plants dug up with balls of earth were raised from (as I thought) a very female hautbois by pollen of Myatt s British Queen. These seedl gs . were not to be distinguished from ordinary Hautbois, save that they are quite hermaphrodite, bearing freely. I think one was inclined to female developement. Hyb Hautbois 2 d generation, is the offspring of a nearly barren seedling from Myatt [TIMES] Hautbois. Has not yet flowered.— At the last moment I am trying to cram in a plant of Fragaria Lucida, a remarkable looking wild sort from, I think, California introduced by M lle . Vilmorin. Enclosed also two or three plants of Cheiranthus, what shall I say the wild yellow Gillyflower of old walls, crossed by Cheiranthus alpinus, forms a very pretty, very fragrant garden flower. The brassicaceous smell of alpinus has imparted a peculiar piquance to the scent of the ordinary wall flower. | R T C"
DCP-LETT-4038.xml,1863-03-12,1863,"Darwin, C. R.","Dallinger, W. H.","I thank you for your very interesting & kind, I may say charming letter. I feared you might be huffed for a little time with me; I know some men would have been so. I have hardly any more criticisms, anyhow worth writing. But I may mention that I felt a little surprise that old B. de Perthes was not rather more honourably mentioned.— I would suggest whether you could not leave out some references to the “Principles”; one for the real Student is as good as a hundred; & it is rather irritating & gives feeling of incompleteness to general reader to be often referred to other book.— As you say that you have gone as far as you believe on species-question, I have not a word to say; but I must feel convinced that at times , judging from conversation, expression, letters &c, you have as completely given up belief in immutability of specific forms, as I have done.— I must still think a clear expression from you, if you could have given it , would have been potent with the public, & all the more so, as you formerly held opposite opinion.— The more I work the more satisfied I become with variation & n. selection; but that part of the case I look at as less important, though more interesting to me personally. As you ask for criticisms on this head (& believe me, I sh d . not have made them unasked) I may specify (p. 412, 413) that such words as M r D “labours to show”—“is believed by the author to throw light”, would lead a common reader to think that you yourself do not at all agree, but merely think it fair to give my opinion.— Lastly, you refer repeatedly to my view as a modification of Lamarcks doctrine of development & progression; if this is your deliberate opinion there is nothing to be said—; but it does not seem so to me; Plato, Buffon, my grandfather before Lamarck & others propounded the obvious view that if species were not created separately, they must have descended from other species: & I can see nothing else in common between the Origin & Lamarck. I believe this way of putting the case is very injurious to its acceptance; as it implies necessary progression & closely connects Wallace’s & my views with what I consider, after two deliberate readings, as a wretched book; & one from which (I well remember my surprise) I gained nothing. But I know you rank it higher, which is curious, as it did not in the least shake your belief.— But enough & more than enough. Please remember you have brought it all down on yourself!!— March 13 th — I must add that Henrietta, who is a first rate critic & to whom I had not said a word about Lamarck, last night said, “Is it fair that Sir C. Lyell always calls your theory a modification of Lamarcks? Why is it more a modification of his, than of any one’s else?” Do not allude to this, for I do not suppose she would at all approve of my quoting her appropriate (in my opinion) criticism.— I have more trust in your judgment than in my own, so I hope you may be right, as far as mere policy is concerned, in your very gentle statement of your belief.— Many thanks about Aye-Aye paper; I have written to Sir Henry.— I am very sorry to hear about Falconer’s “reclamation”; I hate the very word, & have a sincere affection for him.— I have been much interested in Athenæum controversy: how well M r Flower puts in the way in which Owen has falsely dragged in size of brain.— Your answer seemed to me very good; except I regretted your too great civility in saying that Owen must have forgotten what he said in Annals; it was a brazen lie, & ought not, I think, to have been treated so delicately.— Did you ever read anything so wretched as the Athenæum Reviews of you, & of Huxley especially Your object to make man old, & Huxley’s object to degrade him. The wretched writer has not a glimpse what the discovery of scientific truth means.— How splendid some pages are in Huxley; but I fear the book will not be popular. I have just reread your letter; it seems that I mentioned the sentence “Should it ever become highly probable”: I remember determining not to mention it; but it seems that I was overtaken. Ever my dear Lyell | Yours most truly | C. Darwin I keep very queer in health, & we have resolved, eheu eheu, to start for Malvern after Easter holidays.—"
DCP-LETT-5074.xml,1866-04-14,1866,"Darwin, C. R.","Rolle, Friedrich","I doubt whether the Ophrys which you sent had been self-fertilised; it is more probable that the pollen-mass had by some accident been knocked on to the stigma.— In the Bee both pollen-masses fall quite symmetrically & spontaneously on the stigma.— I am so sorry about all the illness of your companions. Try & find out from Battersby whether he has himself observed changes in same plant from O. aranifera into O. scolopax & O. apifera.— Tell him I sh d . be most grateful for information, but I suspect, that what he says is borrow sh d . be most grateful for information, but I suspect, that what he says is borrowed from Moggridge.— If your Ophrys is not O. lutea, you will have to eat humble-pye to Mogg.— Mamma is better to day; but we have had a poor House— Everything now looks brighter; & I for one am nearly on the sound list My dearest Etty— yours affect | C. Darwin Mamma tells me to add that your Mentone Letter has arrived & is satisfactory. It begins to appear a terribly long time since you left us. My dear Etty | Yours affect. C. D"
DCP-LETT-6527.xml,1868-05-12,1868,"Darwin, C. R.","Gray, Asa","Please append your reply to the following. 1. What is the average difference of size between the male and female Deerhound?] from 1 2 to 2 inches when full grown [(This is far too small a disproportion to give—as my other authority shows. G. C.)] [2. Is this amount of difference found in the case of Bloodhounds and Mastiffs?] I have found it so in Bloodhounds of which, I have bred some hundreds. [3. In litters of puppies (of any kind of dog) what is the proportion of males and females in respect of the numbers born?] out of upwards of 117 litters, I bred, I find the average in favor of females. [4. In case of copulation between Deerhound Dog and Bitch (or with other dogs) does the Dog or Bitch ever show any preference for an individual of the opposite sex?] This I certainly find in almost every instance."
DCP-LETT-9970.xml,1869-05-04,1869,"Darwin, C. R.",Unidentified,[]
DCP-LETT-8704.xml,1870-01-01,1870,"Darwin, C. R.",District Health Office,[]
DCP-LETT-7057.xml,1871-01-01,1871,"Darwin, C. R.","MacKintosh, Daniel","All the inhabitants of this place hope that you will endeavour to induce the Post Office to give us better Telegraph communication. At present we have to send 4 miles to Orpington; which is a great inconvenience & it is a still greater one that persons telegraphing here naturally direct to B. or B; & we consequently have to pay for 3 or 6 miles carriage, & much delay is caused.— The Authorities originally intended to give us a T., as the Box & apparatus was sent long ago to the Post-Office here.— As you well know, Down though a small, is a thriving place, well supplied with shops, & is a little metropolis for a large rural district.— We all hope that you will lay our case before the Post [ Ath ] & I remain Dear Sir John | yours very sincerely | C. D."
DCP-LETT-7865.xml,1871-07-13,1871,"Darwin, C. R.","Wright, Chauncey","I have hardly ever in my life read an article which has given me so much satisfaction as the Review which you have been so kind as to send me I agree to almost everything which you say. Your memory must be wonderfully accurate, for you know my works, as well as I do myself, & your power of grasping other men’s thoughts is something quite surprising, & this, as far as my experience goes is a very rare quality. As I read on I perceived how you have acquired this power, viz by thoroughily analysing each word.— I believe M r Mivart to be a thoroughily honourable man; but he was educated as a lawyer & seems to me to plead, as if retained by a client.— I detected in 2 places that he gives the commencement of a sentence or paragraph, & by omitting the end alters my meaning. A Review has just appeared in our Quarterly, evidently by Mivart & cutting me into mince-meat. It seems to me that you appreciate his kind of intellect with great truth. Now I am going to beg a favour. Will you provisionally give me permission to reprint your article as a 1 s . pamphlt. I ask only provisionally, as I have not yet had time to reflect on subject. It would cost me, I fancy, with advertisement some £ 28 or £ 30; but the worst is that, as I hear, pamphlets never will sell. And this makes me doubtful. Should you think it too much trouble to send me a title for the chance ? The title ought, I think, to have M r Mivarts name on it. It would perhaps look odd in pamphet to have the name of books reviewed placed at head? should they be introduced as foot-note, or retained where they are? I suppose on title, there, ought to be inserted “Reprinted from American Review” with additions(?) if the M.S. is to be added. Should this M.S. come at end? The M.S. seems to me very good, but the latter part does not strike me as very clear. I return the M.S.— If the article is reprinted, I will have it printed from clean copy of Review, which I have ordered.— I am very unwell today so pray excuse this wretched note; but I did not like to let another post pass. If you grant permission & send a Title, you will kindly understand that I will first make further enquiries, whether there is any chance of a pamphlet being read. Pray believe me | yours very sincerely obliged | Ch. Darwin P.S. July 13 th . I have been struck by your allusion (p. 98) to Phyllotaxy. I have spent days in puzzling over it, & quite uselessly from not being a mathematician. I supposed new leaves to be added to, or removed from, (i.e to stand closer or further from each other) an existing plant, & then that the leaves had to be arranged anew, so as to be equally exposed to light. I assumed that from the spiral vessels being in bundles, it was necessary after a time that one leaf should stand almost exactly over another.— I did not so much regard the packing in the bud, as Nägeli says the young leaves are sometimes irregularly placed in the bud, & subsequently place themselves at the regular angles. Now will your view explain why there are angles, (as I found by drawing them) by which the leaves can be arranged at equal distances from each other, with one leaf standing over another at some distance above & below, & yet that such angles never occur in nature ? If you can explain this, I wish you w d . be induced to publish on subject.— C. D. July 14 th"
DCP-LETT-8635.xml,1872-11-20,1872,"Darwin, C. R.","Gray, G. R.","I am much obliged by your kind & very courteous letter   When I receive the Report of Jn Lou it will be duly [ examined ] but I am now out of health & have no strength to spare, so I hope you will excuse this being a [ short ] letter & I remain | Dear Sir Yours most sincerely"
DCP-LETT-511.xml,1839-05-23 ,1839,"Darwin, C. R.","Bartlett, A. D.",Geological Society of London | Somerset House. 23rd May 1839 Sir I am requested by the Geological Society to express their thanks for the Proceedings of the American Philosophical Society vol 1 N o . 6 and to assure you that the Society are much honored by this mark of consideration I have the honor to be | Sir | Your most obedient | and very humble Servant | Charles Darwin | Secretary To | The Secretary of | The American Philos. Soc.
DCP-LETT-472.xml,1839-10-24 ,1839,"Darwin, C. R.","Lubbock, John","– – – Arms.— S a Chevron between three Stork’s heads erased at the neck Arg c [DIAGRAM HERE] Another branch of the Warings settled in Ireland in the reign of Charles 1 st . at Potlerath in the County of Kilkenny, and Jane, the Varina of Swift, whose cold & brutal letter to her reflects so much disgrace on the early story of that extraordinary character; was probably of that family, though her father William Waring, was of the county of Antrim.— The Warings originally were a Staffordshire family— Nicholas, is written Esquire & styled of Wolverhampton in Henry the eights reign.— Robert Waring was settled at Wilsford, in the County of Nottingham & was Grandfather to Anne, wife of William Darwin of Cleatham— who was your great great Grandfather. My father bids me say he is no herald or genealogist. this is copied fr the book on the Sheriffs of Shropshire.—"
DCP-LETT-1396.xml,1851-03-27 ,1851,"Darwin, C. R.","Parker, W. K.","Malvern Thursday My dear Fox In passing through London two days ago I heard from Erasmus with sorrow of your Father’s death. A few weeks since I had been much interested in hearing from Susan an account of your Fathers equable & apparently happy state, & of the surprising manner in which he retained his faculties & interests. In a note from Susan she expresses how very glad she now is at her last visit.— I grieve to hear that your health prevents you attending the Funeral: this was my case, & though it is only a ceremony I felt deeply grieved at this deprivation & you no doubt will feel this more. You have my sincere sympathy & very sorry indeed I am to hear that your health is not so good, even as formerly. Hereafter , when at leisure , do let me have a line from you, my dear old Friend. I often think of our happy days at Cambridge; almost if not quite, the happiest part of my life & much associated in my memory with you.— Long continued ill-health has much changed me, & I very often think with pain how cold & different I must appear to my few old friends to what I was formerly; but I internally know that the inner part of my mind remains the same with my old affections. Believe me, my dear Fox, I am & shall ever be your affectionate friend | Charles Darwin I have brought my eldest girl here & intend to leave her for a month under D r . Gully; she inherits I fear with grief, my wretched digestion. I return in a day or two home.— When next you write to any of your Family pray express my sincere sympathy for M rs . Fox & all your sisters."
DCP-LETT-1637.xml,1855-02-28 ,1855,"Darwin, C. R.","Covington, Syms","Down Farnborough, Kent, February 28, 1855. Dear Covington,— I was very glad to get your letter about six weeks ago, dated August 8, 1854, with so good an account of yourself, your affairs, and your children. You have exactly the same family which we have—five boys and two girls; but you beat me in being able to say that yours are all strong and healthy, which is hardly the case with mine, though none have anything serious amiss with them. How little you thought when we landed together at Sydney, that you should one day have land and house letting for £83 per annum. I am very glad to hear the Colony is progressing so well, and that, as you say, “our good Queen has not more loyal subjects in her dominions than are the Australians.” I have lately seen and heard news, more especially of the gold districts, from a Mr. Mackenzie, who was a schoolmaster at Sydney and afterwards a surveyor, has made a nice fortune, and, his wife dying there, he has come back with his one daughter to end his days here, and has published a little book describing Australia. But he seemed to regret Australia. I am sure this last winter, with six weeks’ frost, and with the thermometer sometimes at 0 o , is enough to make anyone past boyhood wish to be in a warmer and better climate. We were during this time in London, for we took a house for a month to have a little amusement, but the weather was cold and the streets all so dirty and snowy that it looked very dismal. The Thames was nearly quite frozen over. I have heard nothing of late of our old shipmates. Captain Fitz Roy is head of a department for keeping an account of observations on wind, weather, and currents made over all the world. He is married again, but I have not seen his wife. Captain Sulivan acquired much credit in the Baltic, and he has now commissioned another small ship, and will sail again soon for the Baltic, and I shall go and see him before he sails. He has now six or seven children. Captain Stokes is in England. I saw him some months ago. I hear he does little now but shoot and hunt. There has been terrible dissatisfaction in England about the management of the war, which seems to have been very badly conducted; but the men and officers have behaved most nobly, and have made the name of Englishmen a prouder thing than ever. Let me hear again from you. To what shall you bring up your boys? I wish to God I knew what to do with mine.— Believe me, with every good wish, your friend, | C. DARWIN."
DCP-LETT-1641.xml,1855-03-04 ,1855,"Darwin, C. R.","Waterhouse, G. R.","Down Farnborough Kent March 4 th .— My dear Waterhouse I heartily wish your prophecy could be verified. But I have again looked over every single page (not sheet) & positively text is missing.— I opened the parcel with my own hands; the Bundle of maps has never been moved from one table in my study, except when I have been studying them in my own, the same room: and it is physically impossible it c d . have been mislaid in this House. Have you not lent it some one? or could it have got amongst maps? I most truly hope that you will succeed in getting a copy; & thank you very much for your kind offer of giving me one, if you get several.— I am very sorry for your troubles about the reversed cones of Mammalia &c &c but I am such a brute that I actually hope & expect to live to see Carboniferous, & perhaps Silurian, Mammifers! Most truly yours | C. Darwin I shall remember your explanation of your Province with no Rodents, whenever I get the Text; but this very remark of yours did catch my attention when looking at the maps & text in the Athenæum Club; & I was then surprised at it.— I have several questions to ask you whenever we meet.— I much enjoyed what little we say of each other in London.—"
DCP-LETT-1668.xml,1855-04-18 ,1855,"Darwin, C. R.","Huxley, T. H.","Down Farnborough Kent Ap. 18 th My dear Huxley I have received the enclosed from Bell, which please read & burn.— I think Lindley has a higher claim than Westwood; but I had fancied that it was not thought advisable to give the medal on two following years for same branch of nat. science: if this impression is quite erroneous, I shall say nothing about Westwood except (as you remarked in regard to Hancock) as a reminder for a future year.— I sh d . moreover be considerably perplexed if I had myself to settle only between Hancock & Westwood.— When we meet at Council I shall hear what you think about Zoologist versus Botanist for this year.— I have written to Bell to above effect viz that I agree to Lindley’s superior claims, excepting on score of Zoologist having his turn.— I was delighted at your note about Lyell Most truly yours | C. Darwin I quoted to Bell what you say about Hancock.— So poor De la Beche is at last gone."
DCP-LETT-1722.xml,1855-07-19 ,1855,"Darwin, C. R.","Hooker, J. D.","Down. July 19 th My dear Hooker I grieve to think how you are worked. As Horner & myself have just agreed it is really wonderful how you get on.— I write now only to say that I have received your enclosure of A. Gray. Pray put on one one side the seed list till winter; but do not lose it : I wish I had thought, I could have myself just as well have written to Daubeny.— There was nothing in my last letter, I am glad to think, which required any sort of answer.— Your’s affect y . | C. Darwin Whenever A. Gray sends the sheets to Sir William for me, please do not send them off by coach &c. directed here, but leave them at Athenæum, or let me know,— a parcel sent here by Coach runs some risk of being lost .—"
